denovo	std	CDI_logabun	H_logabun	nonCDI_logabun	delta_logabun	snr	abs_snr	CDI_presence	H_presence	nonCDI_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Clostridium_XI	1.0672031979	-2.57072738664	-3.05136252785	-3.85110193737	0.480635141211	0.450368910211	0.450368910211	0.860215053763	0.811688311688	0.348314606742	0.0485267420751	0.0485267420751	47	81
g__Hespellia	0.237931249795	-4.44465674296	-4.41833094528	-4.46514467506	-0.0263257976828	-0.110644556801	0.110644556801	0.0430107526882	0.0909090909091	0.0224719101124	-0.0478983382209	0.0478983382209	97	82
g__Hydrogenoanaerobacterium	0.15826003723	-4.49557208711	-4.45079968459	-4.48196344393	-0.0447724025143	-0.282904031226	0.282904031226	0.0	0.0454545454545	0.0112359550562	-0.0454545454545	0.0454545454545	73	83
g__Acholeplasma	0.23573418649	-4.49557208711	-4.42678090973	-4.49557208711	-0.0687911773809	-0.291816721219	0.291816721219	0.0	0.0454545454545	0.0	-0.0454545454545	0.0454545454545	69	84
g__Catenibacterium	0.408288022105	-4.45488910798	-4.36890477729	-4.46402677565	-0.0859843306896	-0.210597240267	0.210597240267	0.0215053763441	0.0649350649351	0.0112359550562	-0.043429688591	0.043429688591	85	85
g__Pediococcus	0.332840338203	-4.39848942311	-4.49557208711	-4.43788766824	0.0970826639938	0.291679381526	0.291679381526	0.0430107526882	0.0	0.0224719101124	0.0430107526882	0.0430107526882	70	86
g__Peptostreptococcus	0.170877209978	-4.44173707739	-4.49557208711	-4.47638996463	0.0538350097204	0.315050846906	0.315050846906	0.0430107526882	0.0	0.0112359550562	0.0430107526882	0.0430107526882	65	87
g__Campylobacter	0.353692564868	-4.33656481815	-4.43430335535	-4.43657915248	0.0977385372004	0.27633755105	0.27633755105	0.10752688172	0.0649350649351	0.0337078651685	0.0425918167854	0.0425918167854	74	88
g__Anaerococcus	0.392081465926	-4.32441397732	-4.42805988149	-4.3961586127	0.103645904162	0.264347879637	0.264347879637	0.10752688172	0.0649350649351	0.0674157303371	0.0425918167854	0.0425918167854	75	89
g__Streptophyta	0.238693376133	-4.49557208711	-4.44942600906	-4.43703472781	-0.0461460780463	-0.193327853474	0.193327853474	0.0	0.038961038961	0.0337078651685	-0.038961038961	0.038961038961	86	90
